,product_type_no,graphical_appearance_no,colour_group_code,index_code,section_no,garment_group_no
0,253,1010016,9,A,16,1002
1,253,1010016,10,A,16,1002
2,253,1010017,11,A,16,1002
3,306,1010016,9,B,61,1017
4,306,1010016,10,B,61,1017
5,306,1010016,12,B,61,1017
6,304,1010016,9,B,62,1021
7,302,1010016,13,B,62,1021
8,273,1010016,9,B,62,1021
9,304,1010016,9,B,62,1021
10,304,1010016,9,B,62,1021
11,252,1010001,7,G,44,1002
12,252,1010001,71,G,44,1002
13,306,1010017,10,B,61,1017
14,306,1010016,6,B,61,1017
15,254,1010016,73,A,16,1002
16,272,1010010,8,F,26,1002
17,272,1010010,7,F,26,1002
18,272,1010016,9,F,26,1002
19,272,1010010,8,F,26,1002
20,272,1010016,52,F,26,1002
21,272,1010010,9,F,26,1002
22,272,1010010,73,F,26,1002
23,273,1010016,9,A,8,1005
24,273,1010010,9,A,8,1005
25,273,1010016,43,A,8,1005
26,273,1010001,8,A,8,1005
27,273,1010016,9,B,62,1021
28,72,1010016,9,C,66,1019
29,72,1010019,15,C,66,1019
30,72,1010011,31,C,66,1019
31,72,1010011,3,C,66,1019
32,72,1010011,5,C,66,1019
33,273,1010016,9,A,16,1002
34,273,1010016,10,A,16,1002
35,273,1010010,7,A,16,1002
36,532,1010016,9,C,66,1019
37,295,1010002,10,G,44,1017
38,295,1010002,51,G,44,1017
39,304,1010016,9,B,62,1021
40,252,1010016,9,S,22,1005
41,252,1010010,8,S,22,1005
42,252,1010016,10,S,22,1005
43,254,1010010,9,S,22,1005
44,252,1010010,73,S,22,1005
45,252,1010010,8,S,22,1005
46,256,1010016,10,G,44,1002
47,256,1010016,10,G,44,1002
48,256,1010016,6,G,44,1002
49,73,1010016,5,C,66,1019
50,73,1010016,3,C,66,1019
51,273,1010016,9,B,62,1021
52,256,1010001,10,G,44,1002
53,273,1010016,9,B,62,1021
54,302,1010016,13,B,62,1021
55,272,1010016,9,S,22,1005
56,272,1010016,8,S,22,1005
57,306,1010016,9,B,61,1017
58,306,1010016,12,B,61,1017
59,306,1010016,10,B,61,1017
60,306,1010016,53,B,61,1017
61,306,1010016,17,B,61,1017
62,306,1010016,17,B,61,1017
63,302,1010016,13,B,62,1021
64,-1,1010016,9,B,62,1021
65,304,1010016,9,B,62,1021
66,304,1010016,13,B,62,1021
67,304,1010016,9,B,62,1021
68,273,1010016,13,B,62,1021
69,272,1010023,72,H,46,1016
70,272,1010016,9,S,22,1005
71,272,1010016,9,S,22,1005
72,272,1010001,9,S,22,1005
73,273,1010016,9,B,62,1021
74,302,1010016,9,B,62,1021
75,302,1010016,10,B,62,1021
76,302,1010010,6,B,62,1021
77,302,1010010,6,B,62,1021
78,302,1010005,52,D,51,1017
79,302,1010001,7,D,51,1017
80,302,1010001,9,D,51,1017
81,254,1010016,9,I,79,1002
82,254,1010010,71,I,79,1002
83,302,1010016,9,B,62,1021
84,302,1010010,53,B,62,1021
85,295,1010001,51,G,44,1017
86,295,1010001,6,G,44,1017
87,295,1010001,73,G,44,1017
88,295,1010001,51,G,44,1017
89,295,1010006,10,G,44,1017
90,295,1010017,81,G,44,1017
91,295,1010001,73,G,44,1017
92,295,1010001,51,G,44,1017
93,295,1010001,81,G,44,1017
94,295,1010017,22,G,44,1017
95,295,1010017,73,G,44,1017
96,295,1010017,51,G,44,1017
97,295,1010006,73,G,44,1017
98,295,1010006,51,G,44,1017
99,308,1010016,9,F,31,1007
100,308,1010016,19,F,31,1007
101,308,1010016,17,F,31,1007
102,308,1010010,7,F,31,1007
103,308,1010016,19,F,31,1007
104,308,1010016,73,F,31,1007
105,308,1010016,23,F,31,1007
106,308,1010016,8,F,31,1007
107,196,1010001,73,G,44,1017
108,196,1010001,51,G,44,1017
109,196,1010001,11,G,44,1017
110,196,1010001,73,G,44,1017
111,196,1010001,10,G,44,1017
112,74,1010016,9,C,66,1019
113,74,1010016,17,C,66,1019
114,74,1010016,31,C,66,1019
115,273,1010016,9,A,16,1002
116,273,1010010,8,A,16,1002
117,273,1010016,9,B,62,1021
118,273,1010010,9,B,62,1021
119,302,1010016,9,B,62,1021
120,302,1010010,8,B,62,1021
121,67,1010016,9,C,65,1019
122,67,1010016,17,C,65,1019
123,67,1010016,9,C,65,1019
124,87,1010016,17,D,52,1020
125,302,1010016,9,D,51,1017
126,302,1010010,51,D,51,1017
127,302,1010017,50,D,51,1017
128,302,1010010,63,D,51,1017
129,302,1010006,9,D,51,1017
130,302,1010017,42,D,51,1017
131,302,1010006,22,D,51,1017
132,273,1010016,9,B,62,1021
133,67,1010026,9,C,65,1019
134,298,1010001,10,B,60,1018
135,59,1010001,10,B,60,1018
136,286,1010010,6,F,26,1017
137,72,1010016,9,C,66,1019
138,72,1010016,15,C,66,1019
139,72,1010016,31,C,66,1019
140,72,1010019,2,C,66,1019
141,73,1010016,9,C,66,1019
142,73,1010016,15,C,66,1019
143,73,1010016,13,C,66,1019
144,73,1010016,9,C,66,1019
145,72,1010016,9,C,66,1019
146,272,1010016,9,A,16,1002
147,272,1010001,73,A,16,1002
148,272,1010001,73,A,16,1002
149,302,1010016,9,D,51,1017
150,295,1010001,10,G,44,1017
151,295,1010001,73,G,44,1017
152,295,1010001,51,G,44,1017
153,295,1010001,81,G,44,1017
154,295,1010001,51,G,44,1017
155,295,1010001,73,G,44,1017
156,295,1010001,10,G,44,1017
157,295,1010001,73,G,44,1017
158,295,1010001,51,G,44,1017
159,295,1010001,81,G,44,1017
160,57,1010016,9,B,60,1018
161,57,1010016,8,B,60,1018
162,57,1010017,10,B,60,1018
163,57,1010016,43,B,60,1018
164,57,1010016,31,B,60,1018
165,57,1010001,8,B,60,1018
166,57,1010016,93,B,60,1018
167,57,1010017,9,B,60,1018
168,57,1010001,9,B,60,1018
169,57,1010001,73,B,60,1018
170,57,1010016,42,B,60,1018
171,57,1010001,12,B,60,1018
172,57,1010001,71,B,60,1018
173,256,1010016,10,G,44,1002
174,256,1010016,51,G,44,1002
175,273,1010016,9,D,51,1002
176,273,1010020,9,D,51,1002
177,273,1010020,9,D,51,1002
178,273,1010020,9,D,51,1002
179,273,1010020,73,D,51,1002
180,273,1010020,9,D,51,1002
181,273,1010020,9,D,51,1002
182,273,1010020,9,D,51,1002
183,273,1010018,9,D,51,1002
184,273,1010020,9,D,51,1002
185,273,1010016,8,D,51,1002
186,275,1010016,9,D,51,1002
187,273,1010016,9,D,51,1002
188,273,1010016,93,D,51,1002
189,275,1010016,9,D,51,1002
190,275,1010010,7,D,51,1002
191,275,1010016,42,D,51,1002
192,275,1010016,19,D,51,1002
193,252,1010016,9,D,51,1002
194,252,1010010,7,D,51,1002
195,252,1010016,19,D,51,1002
196,252,1010016,53,D,51,1002
197,252,1010010,31,D,51,1002
198,252,1010010,19,D,51,1002
199,255,1010010,71,A,16,1002
200,302,1010016,10,B,62,1021
201,302,1010016,9,B,62,1021
202,302,1010016,13,B,62,1021
203,286,1010016,8,F,26,1017
204,265,1010016,8,D,58,1003
205,75,1010016,9,S,22,1019
206,273,1010016,9,B,62,1021
207,273,1010010,7,B,62,1021
208,273,1010016,9,I,79,1002
209,273,1010016,73,I,79,1002
210,273,1010010,9,I,79,1002
211,273,1010017,6,I,79,1002
212,253,1010016,9,I,79,1002
